group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,594187084.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,602708088.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,605945847.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,590036880.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,611753805.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,607746722.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,583353538.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,589677845.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,585205901.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,586419332.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,594666871.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,603412245.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,599532703.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,579871936.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,621238754.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,606105043.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,622688409.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,575999272.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,604881084.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,589717668.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,609716698.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,619504807.0,ns,1
